ano,semana,subregion,red,microred,e_salud,ubigeo,feb_m1,feb_1_4,feb_5_9,feb_10_19,feb_20_59,feb_m60,fecha_ing,clave,estado,feb_tot,fecha_not,fecha_ate,tot_aten
2006,29,52,5,0,150107A201,150107,0,0,0,0,1,0,21-07-2006,,1,1,22-07-2006,,0
2006,29,52,5,0,150107A201,150107,0,1,0,0,0,0,21-07-2006,,1,1,22-07-2006,,0
2006,29,52,5,0,150107A201,150107,0,1,0,0,0,0,21-07-2006,,1,1,22-07-2006,,0
2006,31,52,5,0,150107A201,150107,1,0,0,0,0,0,04-08-2006,,1,1,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,1,0,0,0,1,04-08-2006,,1,2,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,0,1,0,1,0,04-08-2006,,1,2,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,0,0,1,1,0,04-08-2006,,1,2,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,1,0,0,0,0,04-08-2006,,1,1,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,0,0,0,1,0,04-08-2006,,1,1,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,2,0,0,0,0,04-08-2006,,1,2,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,0,1,0,0,0,04-08-2006,,1,1,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,0,0,1,0,0,04-08-2006,,1,1,05-08-2006,,0
2006,31,52,5,0,150107A201,150107,0,0,0,1,0,0,04-08-2006,,1,1,05-08-2006,,0
2006,32,52,5,0,150107A201,150107,1,0,2,2,0,0,12-08-2006,,1,5,13-08-2006,,0
2006,33,52,5,0,150107A201,150107,0,0,1,0,0,0,19-08-2006,,1,1,20-08-2006,,0
2006,33,52,5,0,150107A201,150107,0,0,0,1,0,0,19-08-2006,,1,1,20-08-2006,,0
2006,33,52,5,0,150107A201,150107,0,0,0,1,1,0,19-08-2006,,1,2,20-08-2006,,0
2006,33,52,5,0,150107A201,150107,0,1,0,0,0,0,19-08-2006,,1,1,20-08-2006,,0
2006,34,52,5,0,150107A201,150107,0,0,0,0,1,0,26-08-2006,,1,1,27-08-2006,,0
2006,35,52,5,0,150107A201,150107,0,0,1,0,0,0,01-09-2006,,1,1,02-09-2006,,0
2006,35,52,5,0,150107A201,150107,0,0,0,0,1,0,01-09-2006,,1,1,02-09-2006,,0
2006,35,52,5,0,150107A201,150107,0,0,0,0,1,0,01-09-2006,,1,1,02-09-2006,,0
2006,35,52,5,0,150107A201,150107,0,1,0,0,0,0,01-09-2006,,1,1,02-09-2006,,0
2006,36,52,5,0,150107A201,150107,0,0,1,0,0,1,08-09-2006,,1,2,09-09-2006,,0
2006,37,52,5,0,150107A201,150107,0,1,0,0,0,0,15-09-2006,,1,1,16-09-2006,,0
2006,37,52,5,0,150107A201,150107,0,0,0,1,0,0,15-09-2006,,1,1,16-09-2006,,0
2006,37,52,5,0,150107A201,150107,0,0,0,0,1,0,15-09-2006,,1,1,16-09-2006,,0
2006,37,52,5,0,150107A201,150107,0,0,1,1,0,0,15-09-2006,,1,2,16-09-2006,,0
2006,37,52,5,0,150107A201,150107,0,1,0,0,0,0,15-09-2006,,1,1,16-09-2006,,0
2006,38,52,5,0,150107A201,150107,1,0,0,0,0,0,23-09-2006,,1,1,24-09-2006,,0
2006,38,52,5,0,150107A201,150107,0,1,0,1,0,0,23-09-2006,,1,2,24-09-2006,,0
2006,38,52,5,0,150107A201,150107,0,0,0,0,1,0,23-09-2006,,1,1,24-09-2006,,0
2006,40,52,5,0,150107A201,150107,0,0,0,0,0,1,07-10-2006,,1,1,08-10-2006,,0
2006,40,52,5,0,150107A201,150107,0,0,1,1,0,0,07-10-2006,,1,2,08-10-2006,,0
2006,40,52,5,0,150107A201,150107,0,0,0,0,1,0,07-10-2006,,1,1,08-10-2006,,0
2006,40,52,5,0,150107A201,150107,0,0,0,0,0,1,07-10-2006,,1,1,08-10-2006,,0
2006,42,52,5,0,150107A201,150107,0,0,1,1,0,0,21-10-2006,,1,2,22-10-2006,,0
